,Year,Date,Police_Sta,Road,Address,City,State,Zip_Code,Time,Kind,Reason,Vehicle,Victim,Age,geometry,Zip_code,_Adress,x,y,year
207,2012.0,2012-11-22,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,310 Λεωφόρος Αθηνών,Αιγάλεω,Αττική,,24:00 - 07:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,car,Πεζός,55+,POINT Z (23.68029605222108 38.00332152606762 0),12136.0,,23.68029605222108,38.00332152606762,2012.0
208,2012.0,2012-11-24,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,ΝΕΟ Αθηνών - Πατρών,14ο χλμ Αθηνών Κορίνθου,Χαϊδάρι,Αττική,,24:00 - 07:00,Εκτροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,26-35,POINT Z (23.60417436485511 38.01281094027274 0),12461.0,,23.604174364855112,38.01281094027274,2012.0
209,2012.0,2012-11-25,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,230 Πέτρου Ράλλη,Νίκαια,Αττική,,24:00 - 07:00,Παράσυρση Πεζού,Ερευνώνται,motorcycle,Πεζός,0-17,POINT Z (23.65186398393575 37.97040074000222 0),18453.0,,23.651863983935755,37.97040074000222,2012.0
210,2012.0,2012-11-25,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,230 Πέτρου Ράλλη,Νίκαια,Αττική,,24:00 - 07:00,Παράσυρση Πεζού,Ερευνώνται,motorcycle,Οδηγός,18-25,POINT Z (23.65186638422631 37.9704031798629 0),18453.0,,23.65186638422631,37.9704031798629,2012.0
211,2012.0,2012-11-25,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,23 Πέτρου Ράλλη,Άγιος Ιωάννης Ρέντη,Αττική,,21:00 - 24:00,Σύγκρουση,Ερευνώνται,car,Οδηγός,26-35,POINT Z (23.68796010167739 37.97622476755902 0),11854.0,,23.68796010167739,37.97622476755902,2012.0
212,2012.0,2012-11-27,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,155 Φυλής,Ίλον,Αττική,,17:00 - 21:00,Παράσυρση Πεζού,Ερευνώνται,motorcycle,Πεζός,55+,POINT Z (23.72916076056072 37.99967385966096 0),11251.0,,23.729160760560717,37.99967385966096,2012.0
213,2012.0,2012-11-29,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,178 Λεωφόρος Φυλής,Άνω Λιόσια,Αττική,,17:00 - 21:00,Παράσυρση Πεζού,Ερευνώνται,car,Πεζός,36-45,POINT Z (23.69991747141421 38.0789678983499 0),13122.0,,23.69991747141421,38.0789678983499,2012.0
214,2012.0,2012-11-30,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,Δουκκίσης Πλακεντίας & Σεβαστή Καλισπέρη,Χαλάνδρι,Αττική,,13:00 - 17:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,Other,Οδηγός,55+,POINT Z (23.81193585275747 38.02003791561737 0),15234.0,,23.811935852757472,38.020037915617365,2012.0
215,2012.0,2012-11-30,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,63 Λεωφόρος Αλεξάνδρας,Αθήνα,Αττική,,21:00 - 24:00,Παράσυρση Πεζού,Απόσπαση προσοχής οδηγού,car,Πεζός,55+,POINT Z (23.74376184123605 37.98987310286145 0),11474.0,,23.74376184123605,37.98987310286145,2012.0
216,2012.0,2012-12-04,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,9 Σπηλιωτόπουλου,Ζωγράφος Γουδί,Αττική,,24:00 - 07:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,36-45,POINT Z (23.76928331217516 37.9830390790903 0),15773.0,,23.769283312175162,37.983039079090304,2012.0
217,2012.0,2012-12-05,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,95 Λεωφόρος Δεκελείας,Νέα Φιλαδέλφεια,Αττική,,24:00 - 07:00,Παράσυρση Πεζού,Λοιπά αίτια αναφερόμενα σε οδηγούς,Other,Πεζός,55+,POINT Z (23.73826452478806 38.03500715715461 0),14341.0,,23.738264524788065,38.03500715715461,2012.0
218,2012.0,2012-12-08,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Οδικό Δίκτυο,5 Συκαμίνου,Αυλώνα,Αττική,,24:00 - 07:00,Εκτροπή,Ερευνώνται,car,Επιβάτης,18-25,POINT Z (23.71541824555561 38.27548145210739 0),19011.0,,23.71541824555561,38.275481452107385,2012.0
219,2012.0,2012-12-08,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,1 Λεωφόρος Ομορφοκκλησιάς,Γαλάτσι,Αττική,,09:00 - 13:00,Παράσυρση Πεζού,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Πεζός,55+,POINT Z (23.7531228511387 38.01316179188325 0),11146.0,,23.7531228511387,38.01316179188325,2012.0
